gray,directFill,foregroundRGB,foregroundFill,descriptorFill,descriptorForegroundRGB,descriptorForegroundFill,brushPixel
0,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
25,BFBFBF,CCCCCC,BFBFBF,BFBFBF,CCCCCC,BFBFBF,BFBFBF
50,808080,959595,808080,808080,959595,808080,808080
75,404040,555555,404040,404040,555555,404040,404040
100,000000,000000,000000,000000,000000,000000,000000
0.1,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF,FFFFFF
1.5,FBFBFB,FCFCFC,FBFBFB,FBFBFB,FCFCFC,FBFBFB,FBFBFB
33.333,AAAAAA,BBBBBB,AAAAAA,AAAAAA,BBBBBB,AAAAAA,AAAAAA
49.999,808080,959595,808080,808080,959595,808080,808080
50.001,7F7F7F,959595,7F7F7F,7F7F7F,959595,7F7F7F,808080
89.999,1A1A1A,252525,1A1A1A,1A1A1A,252525,1A1A1A,1A1A1A
90.001,191919,252525,191919,191919,252525,191919,191919
99.9,000000,000000,000000,000000,000000,000000,000000
